cluster_id	category	cluster_size	role	richness_score	hamming_dist	sha256	size_bytes	resolution	has_gps	ext	path
1	mixed_bundle	37	KEEP	18.3	0	9327e5c2e6ae	15783	708x808		png	/Users/marekgaletka/Pictures/printscreens/Snímek obrazovky 2026-01-20 v 13.58.44.png
1	mixed_bundle	37	REMOVE	17.8	1	f62709bc93c2	4755	408x128		png	/Users/marekgaletka/Pictures/printscreens/Snímek obrazovky 2026-03-25 v 10.23.54.png
1	mixed_bundle	37	REMOVE	17.7	1	f0942bcc2e0d	3602	2x258		png	/Users/marekgaletka/Pictures/printscreens/Snímek obrazovky 2025-12-22 v 14.05.47.png
1	mixed_bundle	37	REMOVE	17.7	1	9fc5a4165c66	3531	6x2		png	/Users/marekgaletka/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 15.18.09.png
1	mixed_bundle	37	REMOVE	8.3	0	9327e5c2e6ae	15783	708x808		png	/Users/marekgaletka/mnt/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2026-01-20 v 13.58.44.png
1	mixed_bundle	37	REMOVE	7.7	1	f0942bcc2e0d	3602	2x258		png	/Users/marekgaletka/mnt/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-22 v 14.05.47.png
1	mixed_bundle	37	REMOVE	7.7	1	9fc5a4165c66	3531	6x2		png	/Users/marekgaletka/mnt/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 15.18.09.png
1	mixed_bundle	37	REMOVE	6.9	4	3f0016f1f040	88147	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill5-6.jpg
1	mixed_bundle	37	REMOVE	6.9	0	aea5cef4072d	88201	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill4-5.jpg
1	mixed_bundle	37	REMOVE	6.9	2	758261189a7f	103463	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill3-4.jpg
1	mixed_bundle	37	REMOVE	6.9	2	34cd8458b8f2	93788	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill2-3.jpg
1	mixed_bundle	37	REMOVE	6.9	3	5338ba6c29b4	91696	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill1-2.jpg
1	mixed_bundle	37	REMOVE	6.9	4	b33e6eaa796e	76295	500x500		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill0-1.jpg
1	mixed_bundle	37	REMOVE	6.7	1	b9c495defb31	2567	356x200		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/st-30E040F1-3986-4526-BFE2-ED2D87B955A4-212.jpg
1	mixed_bundle	37	REMOVE	6.7	1	6b1aafcf4d05	2567	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/master-6-1857.jpeg
1	mixed_bundle	37	REMOVE	5.3	1	f599469fd182	12093	256x135		png	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/b2a-logo-digital-innovation-dark-2@3x-small-9720.png
1	mixed_bundle	37	REMOVE	5.3	1	1890725aa99c	16237	318x168		png	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/b2a-logo-digital-innovation-dark-2@3x-9719.png
1	mixed_bundle	37	REMOVE	3.7	1	30486162c8f7	52308	256x256		png	/Users/marekgaletka/Library/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PlaceholderImage-small-9.png
1	mixed_bundle	37	REMOVE	-3.1	4	3f0016f1f040	88147	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill5-6.jpg
1	mixed_bundle	37	REMOVE	-3.1	0	aea5cef4072d	88201	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill4-5.jpg
1	mixed_bundle	37	REMOVE	-3.1	2	758261189a7f	103463	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill3-4.jpg
1	mixed_bundle	37	REMOVE	-3.1	2	34cd8458b8f2	93788	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill2-3.jpg
1	mixed_bundle	37	REMOVE	-3.1	3	5338ba6c29b4	91696	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill1-2.jpg
1	mixed_bundle	37	REMOVE	-3.1	4	b33e6eaa796e	76295	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill0-1.jpg
1	mixed_bundle	37	REMOVE	-3.1	4	3f0016f1f040	88147	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill5-6.jpg
1	mixed_bundle	37	REMOVE	-3.1	0	aea5cef4072d	88201	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill4-5.jpg
1	mixed_bundle	37	REMOVE	-3.1	2	758261189a7f	103463	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill3-4.jpg
1	mixed_bundle	37	REMOVE	-3.1	2	34cd8458b8f2	93788	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill2-3.jpg
1	mixed_bundle	37	REMOVE	-3.1	3	5338ba6c29b4	91696	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill1-2.jpg
1	mixed_bundle	37	REMOVE	-3.1	4	b33e6eaa796e	76295	500x500		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PresetImageFill0-1.jpg
1	mixed_bundle	37	REMOVE	-3.3	1	6b1aafcf4d05	2567	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/master-6-1857.jpeg
1	mixed_bundle	37	REMOVE	-3.3	1	b9c495defb31	2567	356x200		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/st-30E040F1-3986-4526-BFE2-ED2D87B955A4-212.jpg
1	mixed_bundle	37	REMOVE	-3.3	1	6b1aafcf4d05	2567	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/master-6-1857.jpeg
1	mixed_bundle	37	REMOVE	-4.7	1	f599469fd182	12093	256x135		png	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/b2a-logo-digital-innovation-dark-2@3x-small-9720.png
1	mixed_bundle	37	REMOVE	-4.7	1	1890725aa99c	16237	318x168		png	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/nacenění AGEL.key/Data/b2a-logo-digital-innovation-dark-2@3x-9719.png
1	mixed_bundle	37	REMOVE	-6.3	1	30486162c8f7	52308	256x256		png	/Users/marekgaletka/mnt/mega/GML-Backup/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PlaceholderImage-small-9.png
1	mixed_bundle	37	REMOVE	-6.3	1	30486162c8f7	52308	256x256		png	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/B2A DIMA - HRONOVSKÝ - vision.key/Data/PlaceholderImage-small-9.png
2	mixed_bundle	22	KEEP	42.9	0	3c1591a15b80	1432751	2560x1536		jpg	/Users/marekgaletka/.config/gml/cloud/gdrive/Fingood INTERNÍ/Policie/Pata/20160503_093054.jpg
2	mixed_bundle	22	REMOVE	42.8	0	cda1e8f42e84	1292589	2560x1536		jpg	/Users/marekgaletka/.config/gml/cloud/gdrive/Fingood INTERNÍ/Policie/Pata/20160503_093139.jpg
2	mixed_bundle	22	REMOVE	32.9	0	3c1591a15b80	1432751	2560x1536		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/gdrive/Fingood INTERNÍ/Policie/Pata/20160503_093054.jpg
2	mixed_bundle	22	REMOVE	32.8	0	cda1e8f42e84	1292589	2560x1536		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/gdrive/Fingood INTERNÍ/Policie/Pata/20160503_093139.jpg
2	mixed_bundle	22	REMOVE	6.7	5	dbf36ff26a03	6976	356x200		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/B2A_Pegas_Gonda_prezenttion.key/Data/st-9253CD8A-B585-4281-B592-BADA56CBA6AB-2857.jpg
2	mixed_bundle	22	REMOVE	6.7	0	2dfca0b64845	7968	356x200		jpg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/B2A_Pegas_Gonda_prezenttion.key/Data/mt-B1BE6418-CE39-4920-B59B-FA36403B0719-2928.jpg
2	mixed_bundle	22	REMOVE	6.7	0	548f7e4b3e53	5278	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-9-5188.jpeg
2	mixed_bundle	22	REMOVE	6.7	2	fce86277c964	7592	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-7-5192.jpeg
2	mixed_bundle	22	REMOVE	6.7	4	4d6aac376fae	8572	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-5-5190.jpeg
2	mixed_bundle	22	REMOVE	6.7	4	1b63353d80a6	5745	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-4-5197.jpeg
2	mixed_bundle	22	REMOVE	6.7	2	563b69629d6d	5517	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-2-5196.jpeg
2	mixed_bundle	22	REMOVE	6.7	4	ca58b658807d	4725	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-11-5189.jpeg
2	mixed_bundle	22	REMOVE	6.7	3	0c1a578ccb3f	5604	356x200		jpeg	/Users/marekgaletka/Library/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-0-5194.jpeg
2	mixed_bundle	22	REMOVE	-3.3	5	dbf36ff26a03	6976	356x200		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/B2A_Pegas_Gonda_prezenttion.key/Data/st-9253CD8A-B585-4281-B592-BADA56CBA6AB-2857.jpg
2	mixed_bundle	22	REMOVE	-3.3	0	2dfca0b64845	7968	356x200		jpg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/B2A_Pegas_Gonda_prezenttion.key/Data/mt-B1BE6418-CE39-4920-B59B-FA36403B0719-2928.jpg
2	mixed_bundle	22	REMOVE	-3.3	0	548f7e4b3e53	5278	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-9-5188.jpeg
2	mixed_bundle	22	REMOVE	-3.3	2	fce86277c964	7592	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-7-5192.jpeg
2	mixed_bundle	22	REMOVE	-3.3	4	4d6aac376fae	8572	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-5-5190.jpeg
2	mixed_bundle	22	REMOVE	-3.3	4	1b63353d80a6	5745	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-4-5197.jpeg
2	mixed_bundle	22	REMOVE	-3.3	2	563b69629d6d	5517	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-2-5196.jpeg
2	mixed_bundle	22	REMOVE	-3.3	4	ca58b658807d	4725	356x200		jpeg	/Users/marekgaletka/mnt/mega/GML-Backup/Mobile Documents/com~apple~Keynote/Documents/AWL Traceability.key/Data/master-11-5189.jpeg
