cluster_id	action	victim_path_on_gws	quarantine_path	survivor_path	victim_score	survivor_score
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/logo tridas (3).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/logo tridas (3).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	3.6	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/logo tridas (2).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/logo tridas (2).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	3.6	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/logo tridas (1).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/logo tridas (1).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	3.6	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/logo tridas.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/logo tridas.png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	-6.3	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/logo tridas (3).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/logo tridas (3).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	-6.4	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/logo tridas (2).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/logo tridas (2).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	-6.4	3.7
9	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/logo tridas (1).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/logo tridas (1).png	gws-backup:GML-Consolidated/unknown/00/logo tridas.png	-6.4	3.7
10	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/picture.jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/picture.jpeg	gws-backup:GML-Consolidated/unknown/00/picture.jpeg	-5.0	5.0
10	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/picture (4).jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/picture (4).jpeg	gws-backup:GML-Consolidated/unknown/00/picture.jpeg	-5.0	5.0
10	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/picture (2).jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/picture (2).jpeg	gws-backup:GML-Consolidated/unknown/00/picture.jpeg	-5.0	5.0
